Unnamed: 0,keyword_text,category,intent_level,avg_daily_searches,keyword_id,competition_score,avg_competitor_bid,floor_bid,top_of_page_bid,historical_ctr,impressions_won,keyword_score,avg_competitor_bid_cpm,floor_bid_cpm,suggested_bid_cpm,top_of_page_bid_cpm
0,chips,Snacks,generic,8000,KW_001,0.64,8.84,2.65,13.26,0.0299,3266,0.3788,132.6,39.75,145.86,198.9
1,namkeen,Snacks,generic,6000,KW_002,0.7,5.18,1.55,7.77,0.0286,1671,0.2372,77.7,23.25,85.47,116.55
2,biscuits,Snacks,generic,8667,KW_003,0.67,5.39,1.62,8.08,0.0363,2501,0.4032,80.85,24.3,88.94,121.2
3,instant noodles,Snacks,generic,6667,KW_004,0.66,6.09,1.83,9.14,0.0351,1850,0.3092,91.35,27.45,100.48,137.1
4,snacks under 50,Snacks,long_tail,833,KW_005,0.27,3.65,1.1,5.48,0.0493,630,0.1924,54.75,16.5,60.22,82.2
5,healthy snacks,Snacks,long_tail,1333,KW_006,0.27,5.78,1.73,8.67,0.0517,1042,0.2429,86.7,25.95,95.37,130.05
6,sugar free biscuits,Snacks,long_tail,600,KW_007,0.26,6.54,1.96,9.81,0.051,358,0.1845,98.1,29.4,107.91,147.15
7,noodles masala,Snacks,long_tail,1000,KW_008,0.34,5.66,1.7,8.49,0.0449,663,0.1677,84.9,25.5,93.39,127.35
8,cream biscuits,Snacks,long_tail,1167,KW_009,0.31,5.71,1.71,8.56,0.0519,717,0.2237,85.65,25.65,94.22,128.4
9,protein chips,Snacks,long_tail,400,KW_010,0.32,7.56,2.27,11.34,0.0484,288,0.1575,113.4,34.05,124.74,170.1
10,lays chips,Snacks,branded,3000,KW_011,0.8,14.09,4.23,21.14,0.0611,522,0.3271,211.35,63.45,232.48,317.1
11,kurkure,Snacks,branded,4000,KW_012,0.9,11.28,3.38,16.92,0.062,431,0.3555,169.2,50.7,186.12,253.8
12,maggi noodles,Snacks,branded,10000,KW_013,0.88,15.6,4.68,23.4,0.0562,1146,0.5103,234.0,70.2,257.4,351.0
13,bingo snacks,Snacks,branded,1500,KW_014,0.82,9.15,2.74,13.73,0.0541,317,0.2281,137.25,41.1,150.98,205.95
14,dark fantasy,Snacks,branded,1833,KW_015,0.82,11.97,3.59,17.96,0.0553,282,0.2436,179.55,53.85,197.51,269.4
15,cold drink,Beverages,generic,6333,KW_016,0.62,6.54,1.96,9.81,0.0313,2254,0.2939,98.1,29.4,107.91,147.15
16,fruit juice,Beverages,generic,4000,KW_017,0.63,6.4,1.92,9.6,0.0352,1251,0.2091,96.0,28.8,105.6,144.0
17,mineral water,Beverages,generic,3667,KW_018,0.65,4.01,1.2,6.02,0.0356,1501,0.2155,60.15,18.0,66.17,90.3
18,energy drink,Beverages,generic,2000,KW_019,0.64,8.63,2.59,12.94,0.0271,829,0.0783,129.45,38.85,142.4,194.1
19,tea powder,Beverages,generic,6667,KW_020,0.63,5.41,1.62,8.12,0.0321,2228,0.3071,81.15,24.3,89.27,121.8
20,tata tea,Beverages,branded,3667,KW_021,0.86,10.46,3.14,15.69,0.0572,546,0.3188,156.9,47.1,172.59,235.35
21,nescafe,Beverages,branded,3333,KW_022,0.81,14.54,4.36,21.81,0.0552,714,0.3043,218.1,65.4,239.91,327.15
22,tropicana juice,Beverages,branded,2000,KW_023,0.83,8.15,2.44,12.23,0.0542,348,0.2436,122.25,36.6,134.48,183.45
